name,id,first_acquired,last_acquired,resolution
planet_medres_normalized_analytic_2015-12_2016-05_mosaic,1f0570f3-b373-457f-89a5-046b4080d199,2015-12-01,2016-06-01,4.777
planet_medres_normalized_analytic_2016-06_2016-11_mosaic,d514a774-2bb8-45c5-b552-1577b6711fca,2016-06-01,2016-12-01,4.777
planet_medres_normalized_analytic_2016-12_2017-05_mosaic,b3eaabdf-7d12-472d-aa44-7810a8585410,2016-12-01,2017-06-01,4.777
planet_medres_normalized_analytic_2017-06_2017-11_mosaic,86a3070d-c49b-4d66-b232-f6cf8112c0c7,2017-06-01,2017-12-01,4.777
planet_medres_normalized_analytic_2017-12_2018-05_mosaic,7d124d52-a7d6-4b1d-875c-4f5307c28431,2017-12-01,2018-06-01,4.777
planet_medres_normalized_analytic_2018-06_2018-11_mosaic,41ceab16-f41e-47fd-9438-cac8ffef6a82,2018-06-01,2018-12-01,4.777
planet_medres_normalized_analytic_2018-12_2019-05_mosaic,1f8f8011-4063-41f0-b054-91447a6ecd6c,2018-12-01,2019-06-01,4.777
planet_medres_normalized_analytic_2019-06_2019-11_mosaic,be47e0f2-c91b-41b5-865e-eb4d212b59e6,2019-06-01,2019-12-01,4.777
planet_medres_normalized_analytic_2019-12_2020-05_mosaic,c1ec34e1-4967-45a9-a2ba-6eba2d07cb8e,2019-12-01,2020-06-01,4.777
planet_medres_normalized_analytic_2020-06_2020-08_mosaic,b1a5e592-a608-4e61-b588-015bf6331eca,2020-06-01,2020-09-01,4.777
planet_medres_normalized_analytic_2020-09_mosaic,755805d4-8eba-4a61-a6ab-7514c1bde810,2020-09-01,2020-10-01,4.777
planet_medres_normalized_analytic_2020-10_mosaic,943d4604-7237-4f4f-9548-bb41f9db8254,2020-10-01,2020-11-01,4.777
planet_medres_normalized_analytic_2020-11_mosaic,a6f85a67-b879-42b3-ade3-38d02fc404c0,2020-11-01,2020-12-01,4.777
planet_medres_normalized_analytic_2020-12_mosaic,55bee073-bd31-4d5c-aea5-ba2d8355b807,2020-12-01,2021-01-01,4.777
planet_medres_normalized_analytic_2021-01_mosaic,08edb2bf-3f36-4ad5-9330-182e5245a738,2021-01-01,2021-02-01,4.777
planet_medres_normalized_analytic_2021-02_mosaic,f59e5e34-36ed-4a4b-af4f-a3c0a384c50d,2021-02-01,2021-03-01,4.777
planet_medres_normalized_analytic_2021-03_mosaic,d342de73-6981-438c-a993-533944911c2d,2021-03-01,2021-04-01,4.777
planet_medres_normalized_analytic_2021-04_mosaic,d15679e8-1f2c-4b0e-a50b-055eb88ce999,2021-04-01,2021-05-01,4.777
planet_medres_normalized_analytic_2021-05_mosaic,a4917528-8540-45bc-be55-b92fb053f602,2021-05-01,2021-06-01,4.777
planet_medres_normalized_analytic_2021-06_mosaic,733473f6-b85c-4d31-b10e-d73ea3186310,2021-06-01,2021-07-01,4.777
planet_medres_normalized_analytic_2021-07_mosaic,a22d3de4-f597-47ee-849e-5408f8cbbce5,2021-07-01,2021-08-01,4.777
planet_medres_normalized_analytic_2021-08_mosaic,ce7bad0f-a4a0-45fd-904b-eb6cc6eee373,2021-08-01,2021-09-01,4.777
planet_medres_normalized_analytic_2021-09_mosaic,168b5f2e-e0ad-474b-bfe6-c0d4c17df905,2021-09-01,2021-10-01,4.777
planet_medres_normalized_analytic_2021-10_mosaic,4a18d02d-2a17-4548-b705-9834ed866478,2021-10-01,2021-11-01,4.777
planet_medres_normalized_analytic_2021-11_mosaic,d7e95d46-64a9-4553-b1ea-574e21b49562,2021-11-01,2021-12-01,4.777
planet_medres_normalized_analytic_2021-12_mosaic,5b352386-b09a-48c3-8dfc-174578a22a2e,2021-12-01,2022-01-01,4.777
planet_medres_normalized_analytic_2022-01_mosaic,f7bcdce3-5ccc-4d68-99bd-8a95d37eeb91,2022-01-01,2022-02-01,4.777
planet_medres_normalized_analytic_2022-02_mosaic,5ccf79dd-2c77-416b-87c3-93cedc527f8d,2022-02-01,2022-03-01,4.777
planet_medres_normalized_analytic_2022-03_mosaic,23dee1d3-35b1-46ae-a0f3-c3e04d79c0a5,2022-03-01,2022-04-01,4.777
planet_medres_normalized_analytic_2022-04_mosaic,e8a0f193-ac27-46ca-9ac8-920549a7254e,2022-04-01,2022-05-01,4.777
planet_medres_normalized_analytic_2022-05_mosaic,f2a3f873-9f7c-457a-9dfb-f295d0be6c3a,2022-05-01,2022-06-01,4.777
planet_medres_normalized_analytic_2022-06_mosaic,540b304e-ecfb-449d-a13b-3f16ee6923d6,2022-06-01,2022-07-01,4.777
planet_medres_normalized_analytic_2022-07_mosaic,a39f3482-f960-4800-95fc-bd2542fafa66,2022-07-01,2022-08-01,4.777
planet_medres_normalized_analytic_2022-08_mosaic,9eff8b55-451b-4d08-9a80-a47c8ac1cb93,2022-08-01,2022-09-01,4.777
planet_medres_visual_2015-12_2016-05_mosaic,23dc6217-138a-4d41-aaf3-7277a1204563,2015-12-01,2016-06-01,4.777
planet_medres_visual_2016-06_2016-11_mosaic,91d2109f-3d68-4f58-b3e6-0b33e835a2c3,2016-06-01,2016-12-01,4.777
planet_medres_visual_2016-12_2017-05_mosaic,277374f7-04c2-495b-8839-b92380a8d29f,2016-12-01,2017-06-01,4.777
planet_medres_visual_2017-06_2017-11_mosaic,a8677e49-83c7-4207-8e48-ba72a78a7870,2017-06-01,2017-12-01,4.777
planet_medres_visual_2017-12_2018-05_mosaic,c6ef3922-5b2f-4193-87ad-9db5ae30e6fa,2017-12-01,2018-06-01,4.777
planet_medres_visual_2018-06_2018-11_mosaic,8eb29de4-ac2c-4b54-b5c6-fdb277add41d,2018-06-01,2018-12-01,4.777
planet_medres_visual_2018-12_2019-05_mosaic,a8ea32cc-f37d-472e-882d-ca8e22243d55,2018-12-01,2019-06-01,4.777
planet_medres_visual_2019-06_2019-11_mosaic,e5c11607-5182-494e-a2aa-3ac87dfe8edd,2019-06-01,2019-12-01,4.777
planet_medres_visual_2019-12_2020-05_mosaic,6e32bf40-f194-4ffd-8c7e-d00f3c7ea332,2019-12-01,2020-06-01,4.777
planet_medres_visual_2020-06_2020-08_mosaic,5414168c-5b65-4678-81f7-881aa4610597,2020-06-01,2020-09-01,4.777
planet_medres_visual_2020-09_mosaic,e919a346-9807-4f4e-a2bb-2170d421cf6f,2020-09-01,2020-10-01,4.777
planet_medres_visual_2020-10_mosaic,608d077f-dae3-4d66-8a9c-9c8a5b3b0904,2020-10-01,2020-11-01,4.777
planet_medres_visual_2020-11_mosaic,8ae68c12-8a7e-480c-9657-f8811f089e07,2020-11-01,2020-12-01,4.777
planet_medres_visual_2020-12_mosaic,29def628-d42e-4c76-a820-62f9247691a3,2020-12-01,2021-01-01,4.777
planet_medres_visual_2021-01_mosaic,16d146f1-f290-4d29-b01b-e9c2e3b034ae,2021-01-01,2021-02-01,4.777
planet_medres_visual_2021-02_mosaic,68fbed85-2380-49dc-ada0-887dcd9ec13d,2021-02-01,2021-03-01,4.777
planet_medres_visual_2021-03_mosaic,cce029d5-8e99-4555-a050-95e570686d37,2021-03-01,2021-04-01,4.777
planet_medres_visual_2021-04_mosaic,857c56a3-324d-487c-bd0c-1b01b3287209,2021-04-01,2021-05-01,4.777
